City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
272,Havoysund,NO,70.9963,24.6622,29.28,86,98,3.33,light snow,0.0,0.25
273,Vung Tau,VN,10.346,107.0843,80.35,83,90,9.57,overcast clouds,0.0,0.0
274,Verkhnyaya Inta,RU,65.9811,60.3094,35.33,98,100,16.11,light rain,0.25,0.0
275,Prince Rupert,CA,54.3161,-130.3201,40.17,94,100,3.51,light rain,0.16,0.0
276,Sisimiut,GL,66.9395,-53.6735,20.37,74,21,11.65,few clouds,0.0,0.0
277,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,75,4.47,broken clouds,0.0,0.0
278,Silver City,US,32.7701,-108.2803,70.3,20,1,8.05,clear sky,0.0,0.0
279,Seydi,TM,39.4816,62.9137,33.8,27,17,6.06,few clouds,0.0,0.0
280,Yaan,NG,7.3833,8.5667,77.07,86,100,8.37,light rain,0.21,0.0
281,Linfen,CN,36.0889,111.5189,32.81,57,87,10.31,overcast clouds,0.0,0.0
282,Chicama,PE,-7.8447,-79.1469,66.33,80,73,7.87,broken clouds,0.0,0.0
283,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,80,19,15.93,few clouds,0.0,0.0
284,Ilulissat,GL,69.2167,-51.1,19.42,49,75,9.22,broken clouds,0.0,0.0
285,Sioux Lookout,CA,50.1001,-91.917,43.39,91,7,5.44,clear sky,0.0,0.0
